division	Vermont	#CF6D6D
division	Maine	#D27070
division	Kansas	#D57272
division	Indiana	#D87575
division	Nebraska	#DA7777
division	Illinois	#DD7A7A
division	Ohio	#E07D7D
division	Michigan	#E37F7F
division	Wisconsin	#E68282
division	Minnesota	#E88484
division	USA	#EB8787
division	Nova Scotia	#EE8989
division	New Brunswick	#F18C8C
division	Ontario	#F38E8E
division	Quebec	#F69191
division	Alberta	#F99393
division	British Columbia	#FC9696
division	Manitoba	#FF9999

location	Australia	#7A1F5C
location	New Zealand	#FF99DD
location	Hong Kong	#7A1F6B
location	China	#A64796
location	Japan	#D270C2
location	South Korea	#FF99EE
location	Indonesia	#7A1F7A
location	Singapore	#9B3D9B
location	Philippines	#BC5CBC
location	Thailand	#DD7ADD
location	Malaysia	#FF99FF
location	India	#5C1F7A
location	Sri Lanka	#DD99FF
location	Oman	#4C1F7A
location	United Arab Emirates	#613390
location	Qatar	#7647A6
location	Saudi Arabia	#8C5CBC
location	Jordan	#A170D2
location	Israel	#B684E8
location	Turkey	#CC99FF
location	Ireland	#2E1F7A
location	Wales	#3B2C88
location	England	#493A97
location	Scotland	#5747A6
location	Denmark	#6555B5
location	Estonia	#7262C3
location	Sweden	#8070D2
location	Norway	#8E7DE1
location	Finland	#9C8BF0
location	Iceland	#AA99FF
location	France	#1F2E7A
location	Switzerland	#374694
location	Austria	#4F5FAF
location	Luxembourg	#6878C9
location	Belgium	#8091E4
location	Germany	#99AAFF
location	Romania	#1F4C7A
location	Czech Republic	#4776A6
location	Poland	#70A1D2
location	Russia	#99CCFF
location	Greece	#1F6B7A
location	Spain	#3D8B9B
location	Portugal	#5CACBC
location	Italy	#7ACDDD
location	Slovenia	#99EEFF
location	Sudan	#6CBC5C
location	Burkina Faso	#3D7A1F
location	Senegal	#569437
location	Ghana	#6FAF4F
location	Togo	#88C968
location	Benin	#A1E480
location	Nigeria	#BBFF99
location	Angola	#8CBC5C
location	Rwanda	#5C7A1F
location	Malawi	#719033
location	Zambia	#87A647
location	Zimbabwe	#9CBC5C
location	Mozambique	#B2D270
location	Kenya	#C7E884
location	Djibouti	#DDFF99
location	Botswana	#6B7A1F
location	South Africa	#EEFF99
location	Mexico	#7A7A1F
location	Panama	#FFFF99
location	Brazil	#7A6B1F
location	Chile	#A69647
location	Argentina	#D2C270
location	Peru	#FFEE99
location	Trinidad and Tobago	#7A4C1F
location	US Virgin Islands	#A67647
location	Puerto Rico	#D2A170
location	Netherlands	#FFCC99
location	Texas	#7A1F1F
location	New Mexico	#7B2020
location	Arizona	#7D2121
location	Florida	#7E2323
location	South Carolina	#802424
location	Georgia	#812525
location	Arkansas	#832727
location	Tennessee	#842828
location	North Carolina	#862A2A
location	Virginia	#872B2B
location	Kentucky	#892C2C
location	Hawaii	#8A2E2E
location	California	#8C2F2F
location	Utah	#8D3131
location	Colorado	#8F3232
location	Nevada	#903333
location	Wyoming	#923535
location	Idaho	#933636
location	Oregon	#953737
location	Washington	#963939
location	Alaska	#983A3A
location	Delaware	#993C3C
location	Washington DC	#9B3D3D
location	Maryland	#9C3E3E
location	Pennsylvania	#9E4040
location	New Jersey	#9F4141
location	Fairfield	#A14343
location	Westchester	#A24444
location	Fairfield  CT	#A44545
location	New Haven	#A54747
location	New Haven 	#A74848
location	New London	#A84949
location	Middlesex  CT	#AA4B4B
location	Middlesex	#AB4C4C
location	Meriden	#AD4E4E
location	New London 	#AE4F4F
location	Windham 	#B05050
location	Windham	#B15252
location	Tolland 	#B35353
location	Litchfield	#B45555
location	Hartford 	#B65656
location	Hartford	#B75757
location	Tolland	#B95959
location	Litchfield 	#BA5A5A
location	Rhode Island	#BC5C5C
location	Barnstable	#BE5D5D
location	Bristol	#BF5E5E
location	Plymouth	#C16060
location	Hampden	#C26161
location	Norfolk	#C46262
location	Berkshire	#C56464
location	Worcester	#C76565
location	Suffolk	#C86767
location	Suffolk  MA	#CA6868
location	Richmond	#CB6969
location	Kings  NY	#CD6B6B
location	Nassau	#CE6C6C
location	New York 	#D06E6E
location	Nassau  NY	#D16F6F
location	Queens 	#D37070
location	Queens	#D47272
location	Bronx	#D67373
location	Bronx 	#D77474
location	Westchester 	#D97676
location	Suffolk  NY	#DA7777
location	Clinton  NY	#DC7979
location	Rockland	#DD7A7A
location	Dutchess	#DF7B7B
location	New York City	#E07D7D
location	Kings	#E27E7E
location	New York	#E38080
location	Ontario 	#E58181
location	Putnam	#E68282
location	Grafton	#E88484
location	Kansas	#E98585
location	Indiana	#EB8686
location	Nebraska	#EC8888
location	Illinois	#EE8989
location	Ohio	#EF8B8B
location	Michigan	#F18C8C
location	Wisconsin	#F28D8D
location	Minnesota	#F48F8F
location	Nova Scotia	#F59090
location	New Brunswick	#F79292
location	Ontario	#F89393
location	Quebec	#FA9494
location	Alberta	#FB9696
location	British Columbia	#FD9797
location	Manitoba	#FF9999

us_region	Global	#CCCCCC
us_region	Europe	#666666
us_region	Maryland	#5C1F7A
us_region	Delaware	#662985
us_region	Washington DC	#713390
us_region	District of Columbia	#7C3D9B
us_region	New York	#19AE77
us_region	New Jersey	#9151B1
us_region	Pennsylvania	#9C5CBC
us_region	Vermont	#A766C7
us_region	New Hampshire	#B270D2
us_region	Maine	#BC7ADD
us_region	Massachusetts	#C784E8
us_region	Connecticut	#8FEECB
us_region	Rhode Island	#DD99FF
us_region	North Dakota	#1F7A3D
us_region	South Dakota	#2A8648
us_region	Minnesota	#359253
us_region	Nebraska	#409E5F
us_region	Iowa	#4BAA6A
us_region	Kansas	#56B676
us_region	Missouri	#61C281
us_region	Wisconsin	#6CCE8D
us_region	Michigan	#77DA98
us_region	Illinois	#82E6A4
us_region	Indiana	#8DF2AF
us_region	Ohio	#99FFBB
us_region	Arizona	#7A6B1F
us_region	New Mexico	#A69647
us_region	Texas	#D2C270
us_region	Oklahoma	#FFEE99
us_region	Arkansas	#1F4C7A
us_region	Louisiana	#2A5786
us_region	Kentucky	#356392
us_region	Tennessee	#406E9E
us_region	Mississippi	#4B7AAA
us_region	Alabama	#5686B6
us_region	West Virginia	#6191C2
us_region	Virginia	#6C9DCE
us_region	North Carolina	#77A9DA
us_region	South Carolina	#82B4E6
us_region	Georgia	#8DC0F2
us_region	Florida	#99CCFF
us_region	Hawaii	#7A2E1F
us_region	Alaska	#873A2B
us_region	Washington	#944637
us_region	Oregon	#A15343
us_region	California	#AF5F4F
us_region	Idaho	#BC6C5C
us_region	Montana	#C97868
us_region	Wyoming	#D78474
us_region	Nevada	#E49180
us_region	Utah	#F19D8C
us_region	Colorado	#FFAA99

category	Alpha (B.1.1.7)	#620000
category	Beta (B.1.351)	#690000
category	Beta (B.1.351.2)	#6F0000
category	Beta (B.1.351.3)	#750000
category	Delta (AY.1)	#7C0000
category	Delta (AY.10)	#820000
category	Delta (AY.100)	#880000
category	Delta (AY.103)	#8F0000
category	Delta (AY.105)	#980000
category	Delta (AY.107)	#9F0000
category	Delta (AY.109)	#A50200
category	Delta (AY.11)	#AF0A00
category	Delta (AY.111)	#B20F00
category	Delta (AY.112)	#B21400
category	Delta (AY.113)	#B21A00
category	Delta (AY.114)	#B22100
